index,user_id,clicks__n_total,clicks__avg_scrollY,clicks__session_gap_cv,clicks__scroll_depth_max,heartbeat__n_total,heartbeat__avg_idle_time,heartbeat__scroll_depth_max,heartbeat__avg_scrollY,q__n_questions_viewed,q__n_unique_urls,q__maj_track,q__n_unique_courses,q__avg_question_number,q__n_active_days,q__revisit_rate,media__n_play_events,media__n_unique_media,media__total_watch_min,media__n_unique_urls,media__media_type_diversity,media__audio_pct,media__completion_rate,label,unique_math_qids,unique_text_qids,unique_quiz_qids,content_entropy,ts__q_bin1,ts__q_bin2,ts__q_bin3,ts__q_trend,ts__q_recency,ts__pv_bin1,ts__pv_bin2,ts__pv_bin3,ts__pv_trend,ts__pv_recency,ts__score_first,ts__score_last,ts__score_delta
1249,6518,3057.0,0.0,13.521834265526797,0.0,20746,1767088246.0942605,0.0,0.0,275.0,18.0,1.0,2.0,,13.0,1.0,0.0,1.0,0.0,17.0,1.0,0.0,0.0,1,9.0,0.0,253.0,0.6205438691018175,0.0,23.0,16.0,16.0,0.41025641025641024,94.0,222.0,131.0,37.0,0.2930648769574944,,,
1250,6519,3090.0,0.0,14.087673995746563,0.0,11970,1764599149.9412894,0.0,0.0,444.0,19.0,1.0,2.0,,11.0,0.9977477477477478,0.0,1.0,0.0,15.0,1.0,0.0,0.0,1,0.0,0.0,224.0,0.8715585279774947,2.0,0.0,0.0,-2.0,0.0,67.0,135.0,33.0,-34.0,0.14042553191489363,,,
1252,6529,870.0,0.0,8.627960236988132,0.0,8514,1763488676.4660373,0.0,0.0,86.0,8.0,0.0,2.0,0.0,10.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0,0.0,0.0,71.0,0.9078619154263696,,,,,,0.0,13.0,14.0,14.0,0.5185185185185185,,,
1256,6533,1557.0,0.0,7.596543428389846,0.0,18525,1763753625.9292967,0.0,0.0,68.0,8.0,0.0,2.0,,8.0,1.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0,0.0,80.0,47.0,1.075629789029835,0.0,0.0,2.0,2.0,1.0,63.0,27.0,44.0,-19.0,0.3283582089552239,,,
1258,6536,3396.0,0.0,16.01329696543838,0.0,35918,1765189076.6237826,0.0,0.0,353.0,36.0,0.0,2.0,0.0,20.0,0.9971671388101983,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0,73.0,287.0,309.0,0.9134976939832423,34.0,139.0,8.0,-26.0,0.04419889502762431,83.0,117.0,44.0,-39.0,0.18032786885245902,,,
1260,6538,5505.0,0.0,12.396774879869009,0.0,45735,1765656647.7764177,0.0,0.0,899.0,46.0,0.0,2.0,0.0,27.0,1.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,1,0.0,120.0,362.0,0.952872032412578,501.0,0.0,42.0,-459.0,0.07734806629834254,291.0,28.0,88.0,-203.0,0.21621621621621623,,,
1262,6540,1642.0,0.0,10.241169828905782,0.0,12904,1764004115.0085077,0.0,0.0,288.0,25.0,0.0,2.0,0.0,15.0,0.9965277777777778,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1,0.0,0.0,191.0,0.9861241929032656,0.0,33.0,0.0,0.0,0.0,7.0,65.0,23.0,16.0,0.24210526315789474,,,
1263,6541,873.0,0.0,12.419972459145018,0.0,13289,1762696030.3792255,0.0,0.0,141.0,13.0,0.0,1.0,0.0,8.0,1.0,,,,,,,,1,0.0,0.0,145.0,0.7300240173214622,0.0,0.0,4.0,4.0,1.0,0.0,0.0,7.0,7.0,1.0,,,
1264,6542,2441.0,0.0,14.882397620723363,0.0,23581,1763686324.3867614,0.0,0.0,324.0,22.0,0.0,2.0,0.0,15.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,1,0.0,56.0,340.0,0.9482009397324382,0.0,8.0,44.0,44.0,0.8461538461538461,0.0,10.0,60.0,60.0,0.8571428571428571,,,
1265,6543,4937.0,0.0,16.748440692816775,0.0,31345,1763522108.3623633,0.0,0.0,478.0,34.0,0.0,2.0,0.0,24.0,0.997907949790795,0.0,1.0,0.0,12.0,1.0,0.0,0.0,1,0.0,26.0,236.0,1.0721242898976995,0.0,42.0,1.0,1.0,0.023255813953488372,0.0,103.0,21.0,21.0,0.1693548387096774,,,
1269,6547,8362.0,0.0,19.00747149645026,0.0,61366,1764411529.5539007,0.0,0.0,173.0,14.0,0.0,2.0,0.0,11.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0,0.0,0.0,156.0,0.5686422337386857,0.0,10.0,0.0,0.0,0.0,40.0,83.0,26.0,-14.0,0.174496644295302,,,
1270,6548,5990.0,0.0,17.55717635486567,0.0,15681,1764085779.9365766,0.0,0.0,602.0,33.0,0.0,2.0,0.0,17.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0,0.0,0.0,286.0,0.9132660970475285,77.0,46.0,0.0,-77.0,0.0,151.0,89.0,28.0,-123.0,0.1044776119402985,,,
1271,6549,2396.0,0.0,10.220891192032523,0.0,32825,1764790648.8246903,0.0,0.0,285.0,24.0,0.0,2.0,0.0,18.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1,0.0,56.0,171.0,0.9112358000202248,13.0,8.0,53.0,40.0,0.7162162162162162,60.0,52.0,53.0,-7.0,0.3212121212121212,,,
1272,6550,1661.0,0.0,15.626160469993662,0.0,18572,1766176053.2386184,0.0,0.0,335.0,24.0,0.0,2.0,0.0,14.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,210.0,0.8034742591426993,189.0,0.0,9.0,-180.0,0.045454545454545456,159.0,14.0,11.0,-148.0,0.059782608695652176,,,
1273,6551,3189.0,0.0,12.710385138986695,0.0,12477,1764774336.558007,0.0,0.0,340.0,25.0,0.0,2.0,0.0,16.0,0.9941176470588236,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1,0.0,0.0,141.0,0.7767294767961549,38.0,1.0,7.0,-31.0,0.15217391304347827,62.0,84.0,41.0,-21.0,0.2192513368983957,,,
1277,6555,1141.0,0.0,17.6738609193143,0.0,13651,1765503677.6240013,0.0,0.0,127.0,13.0,1.0,1.0,,7.0,1.0,,,,,,,,0,0.0,0.0,132.0,0.9252065988239022,0.0,17.0,0.0,0.0,0.0,0.0,18.0,57.0,57.0,0.76,,,
1283,6562,2442.0,0.0,20.624832448838067,0.0,9767,1766866600.7644668,0.0,0.0,124.0,9.0,0.0,2.0,,7.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1,20.0,56.0,54.0,0.9888055475515213,0.0,0.0,24.0,24.0,1.0,0.0,65.0,154.0,154.0,0.7031963470319634,,,
1285,6564,592.0,0.0,17.322124041115824,0.0,2505,1769519483.4541123,0.0,0.0,10.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0,0.0,0.0,147.0,0.37313999012128174,0.0,10.0,0.0,0.0,0.0,0.0,55.0,82.0,82.0,0.5985401459854015,,,
1288,6567,52.0,0.0,1.577031017215715,0.0,151,1769078513.498231,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,0.0,,,,,,,,1,0.0,0.0,59.0,0.4689955935892812,0.0,0.0,1.0,1.0,1.0,0.0,0.0,33.0,33.0,1.0,,,
1289,6568,1122.0,0.0,12.6235993128785,0.0,7041,1766772806.842713,0.0,0.0,55.0,3.0,0.0,1.0,,2.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0,19.0,0.0,43.0,0.4573451074948636,30.0,0.0,0.0,-30.0,0.0,41.0,127.0,42.0,1.0,0.2,,,
